taxpayer_id,industry,region,years_in_business,annual_turnover_£,vat_due_£,days_late_filing,days_late_payment,reported_turnover_£,filing_consistency_score,risk_flag,estimated_tax_gap_£,risk_score,under_report_pct,risk_band,audit_priority
TX098608,Agriculture,South,7,279197.0,55839.0,221,251,77916.0,0.0445993340953395,Potential Under-Reporting,40256.0,100.0,0.7209282334695574,Very High,1
TX092303,Wholesale,East,8,188061.0,37612.0,111,112,80077.0,0.0649310139458651,Suspicious Pattern,21596.0,100.0,0.5741966702293405,Very High,2
TX097312,Agriculture,North,28,18824.0,3765.0,91,102,7531.0,0.0157717936165952,Suspicious Pattern,2258.0,100.0,0.5999256268593285,Very High,3
TX063063,Professional Services,South,9,111935.0,22387.0,195,202,20329.0,0.0414299534417394,Potential Under-Reporting,18321.0,100.0,0.8183856702550587,Very High,4
TX041113,Wholesale,North,13,13831.0,2766.0,100,114,5648.0,0.1964300311351192,Suspicious Pattern,1636.0,100.0,0.5916419637047213,Very High,5
TX087751,Agriculture,Scotland,8,205023.0,41005.0,206,357,49418.0,0.076743215548366,Potential Under-Reporting,31120.0,100.0,0.758963628470952,Very High,6
TX041131,Finance,Wales,6,56611.0,11322.0,336,239,13753.0,0.0028797602710061,Potential Under-Reporting,8571.0,100.0,0.7570613485011747,Very High,7
TX083784,Hospitality,Wales,13,113630.0,22726.0,115,97,46306.0,0.1945053634299826,Suspicious Pattern,13464.0,100.0,0.592484379125231,Very High,8
TX083761,Construction,North,1,24158.0,4832.0,95,105,10899.0,0.0565015188301804,Suspicious Pattern,2651.0,100.0,0.5488451030714463,Very High,9
TX014443,Wholesale,South,10,29150.0,5830.0,116,118,11729.0,0.1807847885970466,Suspicious Pattern,3484.0,100.0,0.5976329331046312,Very High,10
TX076292,Manufacturing,North,5,163361.0,32672.0,100,89,71895.0,0.0578174280089896,Suspicious Pattern,18293.0,100.0,0.5599010779806686,Very High,11
TX063112,Construction,South,2,700849.0,140170.0,358,344,127943.0,0.0313393291509888,Potential Under-Reporting,114581.0,100.0,0.8174456980034216,Very High,12
TX014273,Hospitality,Scotland,5,625708.0,125142.0,108,109,351172.0,0.0272506249887725,Suspicious Pattern,54907.0,100.0,0.4387605720240112,Very High,13
TX076442,Retail,South,17,190297.0,38059.0,345,330,44364.0,0.0605500584504518,Potential Under-Reporting,29186.0,100.0,0.7668696826539567,Very High,14
TX003096,Finance,London,1,81170.0,16234.0,99,110,35448.0,0.1530120423399689,Suspicious Pattern,9144.0,100.0,0.5632869286682272,Very High,15
TX062947,Agriculture,Wales,24,127949.0,25590.0,219,209,36413.0,0.0938233411525874,Potential Under-Reporting,18307.0,100.0,0.7154100461902789,Very High,16
TX027036,Manufacturing,East,14,1207402.0,241480.0,107,96,618990.0,0.0218810157866878,Suspicious Pattern,117682.0,100.0,0.48733727457797815,Very High,17
TX003021,Manufacturing,North,24,385481.0,77096.0,114,106,157841.0,0.2070536768153965,Suspicious Pattern,45527.0,100.0,0.5905349420594012,Very High,18
TX087817,Transport,East,22,135710.0,27142.0,113,103,54807.0,0.1505856692401554,Suspicious Pattern,16180.0,100.0,0.5961461940903396,Very High,19
TX019910,Finance,Wales,1,160618.0,32124.0,319,297,36704.0,0.0958304215739082,Potential Under-Reporting,24782.0,100.0,0.7714826482710531,Very High,20
TX096370,Hospitality,Wales,1,2434281.0,486856.0,83,106,1113468.0,0.0128832721581837,Suspicious Pattern,264162.0,100.0,0.5425885507876864,Very High,21
TX036380,Wholesale,Scotland,12,63717.0,12743.0,252,297,11645.0,0.0175789757074491,Potential Under-Reporting,10414.0,100.0,0.817238727498156,Very High,22
TX006996,Construction,East,25,5875159.0,1175032.0,88,91,2418152.0,0.1733301168874888,Suspicious Pattern,691401.0,100.0,0.5884107987545528,Very High,23
TX053921,Finance,South,22,208728.0,41746.0,180,213,31041.0,0.0867900860905451,Potential Under-Reporting,35537.0,100.0,0.8512849258364954,Very High,24
TX063252,Finance,Wales,14,29463.0,5893.0,218,293,6655.0,0.0800432111490274,Potential Under-Reporting,4561.0,100.0,0.7741234769032346,Very High,25
TX003006,Manufacturing,East,25,90779.0,18156.0,118,110,45172.0,0.0543889575302149,Suspicious Pattern,9121.0,100.0,0.5023959285737891,Very High,26
TX093613,Professional Services,South,17,40097.0,8019.0,81,115,16133.0,0.0278142056234209,Suspicious Pattern,4792.0,100.0,0.5976506970596304,Very High,27
TX014451,Manufacturing,Wales,16,330866.0,66173.0,297,278,47432.0,0.0785863649790548,Potential Under-Reporting,56686.0,100.0,0.8566428705276457,Very High,28
TX027340,Construction,London,4,30739.0,6148.0,313,319,6457.0,0.027791085991378,Potential Under-Reporting,4856.0,100.0,0.7899411171475975,Very High,29
TX062882,Retail,North,1,322398.0,64480.0,257,268,80088.0,0.020449498025063,Potential Under-Reporting,48461.0,100.0,0.7515865483036496,Very High,30
TX098639,Wholesale,North,28,23447.0,4689.0,180,226,5049.0,0.0093152031638196,Potential Under-Reporting,3679.0,100.0,0.7846632831492302,Very High,31
TX027379,Wholesale,South,6,31399.0,6280.0,109,109,15216.0,0.1396298724264117,Suspicious Pattern,3236.0,100.0,0.5153985795725978,Very High,32
TX048726,Transport,Scotland,7,43397.0,8679.0,281,250,10626.0,0.0150264767519685,Potential Under-Reporting,6554.0,100.0,0.7551443648178445,Very High,33
TX026877,Retail,North,16,18850.0,3770.0,92,81,8608.0,0.0233859578701776,Suspicious Pattern,2048.0,100.0,0.543342175066313,Very High,34
TX006870,Construction,London,29,106567.0,21313.0,118,85,48154.0,0.0187358747704094,Suspicious Pattern,11682.0,100.0,0.5481340377415147,Very High,35
TX007068,Retail,South,3,15303.0,3061.0,199,325,2790.0,0.0162601587572394,Potential Under-Reporting,2502.0,100.0,0.8176828072926877,Very High,36
TX070412,Manufacturing,Wales,21,60781.0,12156.0,119,83,27059.0,0.0284151392548727,Suspicious Pattern,6744.0,100.0,0.554811536499893,Very High,37
TX044961,Manufacturing,London,14,47531.0,9506.0,194,296,14007.0,0.0730569357307545,Potential Under-Reporting,6704.0,100.0,0.7053081147040878,Very High,38
TX090719,Agriculture,North,7,210937.0,42187.0,81,102,87874.0,0.0644164580757617,Suspicious Pattern,24612.0,100.0,0.5834111606783068,Very High,39
TX070726,Finance,Wales,29,589563.0,117913.0,100,107,339781.0,0.0128098490146996,Suspicious Pattern,49956.0,100.0,0.42367312738418117,Very High,40
TX026851,Wholesale,East,18,900126.0,180025.0,98,118,384265.0,0.0192461780072393,Suspicious Pattern,103172.0,100.0,0.573098655077178,Very High,41
TX076144,Hospitality,Scotland,15,95698.0,19140.0,100,96,42199.0,0.1003917578763157,Suspicious Pattern,10699.0,100.0,0.5590398963405714,Very High,42
