taxpayer_id,industry,region,years_in_business,annual_turnover_£,vat_due_£,days_late_filing,days_late_payment,reported_turnover_£,filing_consistency_score,risk_flag,estimated_tax_gap_£
TX000000,Construction,North,24,342858.0,68572.0,3,1,342858.0,0.7802266918491081,Normal,0.0
TX000001,Manufacturing,South,8,741013.0,148203.0,0,7,741013.0,0.7227622077813562,Normal,0.0
TX000002,Hospitality,Scotland,4,233969.0,46794.0,1,0,233969.0,0.7487632117269866,Normal,0.0
TX000003,Finance,North,19,53444.0,10689.0,1,3,53444.0,0.9491322521244288,Normal,0.0
TX000004,Wholesale,North,1,28955.0,5791.0,0,5,28955.0,0.8969666338975436,Normal,0.0
TX000005,Construction,South,8,674118.0,134824.0,3,1,674118.0,0.9225904973370632,Normal,0.0
TX000006,Finance,London,1,558951.0,111790.0,1,1,558951.0,0.7077368310536848,Normal,0.0
TX000007,Finance,South,23,610871.0,122174.0,0,0,610871.0,0.8490020020142511,Normal,0.0
TX000008,Finance,West,8,81556.0,16311.0,0,1,81556.0,0.8123504170127023,Normal,0.0
TX000009,Agriculture,London,9,616382.0,123276.0,4,0,616382.0,0.8109442397405241,Normal,0.0
TX000010,Retail,Wales,26,79319.0,15864.0,1,0,79319.0,0.7053010036965474,Normal,0.0
TX000011,Hospitality,Scotland,14,253937.0,50787.0,0,2,253937.0,0.657141161732893,Normal,0.0
TX000012,Transport,East,5,3198.0,640.0,0,0,3198.0,0.9599880219720377,Normal,0.0
TX000013,Professional Services,Wales,11,777421.0,155484.0,7,0,777421.0,0.9204353641285034,Normal,0.0
TX000014,Construction,North,13,48400.0,9680.0,7,3,48400.0,0.7588361505318999,Normal,0.0
TX000015,Construction,East,28,260868.0,52174.0,6,1,260868.0,0.8214693030899437,Normal,0.0
TX000016,Transport,London,9,253769.0,50754.0,0,1,253769.0,0.8745771981929629,Normal,0.0
TX000017,Retail,Scotland,15,105482.0,21096.0,8,0,105482.0,0.8816006494439086,Normal,0.0
TX000018,Finance,North,30,9153.0,1831.0,1,0,9153.0,0.8885661065968758,Normal,0.0
TX000019,Wholesale,North,18,163719.0,32744.0,7,0,163719.0,0.9302822920527836,Normal,0.0
TX000020,Manufacturing,Wales,21,903683.0,180737.0,0,2,903683.0,0.7021071939162827,Normal,0.0
TX000021,Transport,London,7,1313871.0,262774.0,0,3,1313871.0,0.8347068256974456,Normal,0.0
TX000022,Construction,North,22,15899.0,3180.0,3,0,15899.0,0.75117245843078,Normal,0.0
TX000023,Professional Services,Wales,10,127848.0,25570.0,93,117,73398.0,0.2618320460439574,Suspicious Pattern,10889.0
TX000024,Construction,Wales,8,14600.0,2920.0,342,306,2400.0,0.03342304703915696,Potential Under-Reporting,2439.0
TX000025,Construction,West,9,971009.0,194202.0,3,4,971009.0,0.7954605683066089,Normal,0.0
TX000026,Agriculture,Scotland,27,252612.0,50522.0,0,0,252612.0,0.6311185146151672,Normal,0.0
TX000027,Transport,South,12,1187854.0,237571.0,3,0,1187854.0,0.9329026641372573,Normal,0.0
TX000028,Transport,South,22,558545.0,111709.0,0,0,558545.0,0.8219565135572539,Normal,0.0
TX000029,Manufacturing,Scotland,30,113619.0,22724.0,4,1,113619.0,0.45832147176118115,Normal,0.0
TX000030,Construction,London,21,32652.0,6530.0,8,6,32652.0,0.8573141897179594,Normal,0.0
TX000031,Hospitality,London,24,494109.0,98822.0,68,115,276311.0,0.24017667370230095,Suspicious Pattern,43559.0
TX000032,Professional Services,South,15,224390.0,44878.0,8,2,224390.0,0.7036714508816554,Normal,0.0
TX000033,Wholesale,East,30,48368.0,9674.0,0,1,48368.0,0.776761819607129,Normal,0.0
TX000034,Finance,South,22,20609.0,4122.0,4,3,20609.0,0.7591783686574121,Normal,0.0
TX000035,Transport,Wales,25,601915.0,120383.0,4,2,601915.0,0.7999286691319821,Normal,0.0
TX000036,Retail,South,27,51060.0,10212.0,2,0,51060.0,0.9643529781200095,Normal,0.0
TX000037,Retail,Wales,11,278161.0,55632.0,0,0,278161.0,0.647317760302766,Normal,0.0
TX000038,Wholesale,East,3,55662.0,11132.0,2,0,55662.0,0.5794561284770758,Normal,0.0
TX000039,Professional Services,London,29,2584702.0,516940.0,3,7,2584702.0,0.6333593987999688,Normal,0.0
TX000040,Transport,South,21,49574.0,9915.0,0,6,49574.0,0.8957689079075939,Normal,0.0
TX000041,Agriculture,West,29,1966867.0,393373.0,0,0,1966867.0,0.8588584303384705,Normal,0.0
TX000042,Agriculture,South,9,3926403.0,785281.0,1,0,3926403.0,0.8876823202582457,Normal,0.0
TX000043,Hospitality,South,24,2697965.0,539593.0,2,1,2697965.0,0.9308633654926529,Normal,0.0
